delta_id,description,file_changed,mechanism,direction,scenario_before,scenario_after,scenario_changed,unknown_before,unknown_after,actions_before_count,actions_after_count,assumptions_changed,changed_fields_count,changes,wall_clock_seconds,distinct_canonical_hashes
D1,Bundled technical hardening (run as non-root + drop all capabilities),docker-compose.yml: + non-root user AND cap_drop ALL,artefact,harden,Hybrid Cloud Scenario,Hybrid Cloud Scenario,False,43,41,4,4,2,0,assum RTS_1:Unknown->Satisfied;assum RTS_3:Unknown->Satisfied,1.676,1
D2,Verify the technical control families,assumptions.conf: IMG/RTS/NET/AUTH/MON = Satisfied,assumption,harden,Hybrid Cloud Scenario,Balanced Container Security Scenario,True,43,17,4,4,27,4,ContainerPtraceInjection:exploitability:MediumExploitability->LowExploitability;ContainerPtraceInjection:exposure:MediumExposure->LowExposure;ContainerPtraceInjection:likelihood:Possible->VeryUnlikely;ContainerPtraceInjection:risk_level:Significant->Moderate;ContainerDataFromLocalSystem:exploitability:MediumExploitability->LowExploitability;ContainerDataFromLocalSystem:exposure:MediumExposure->LowExposure;ContainerDataFromLocalSystem:likelihood:Possible->VeryUnlikely;ContainerDataFromLocalSystem:risk_level:Moderate->Minor;ContainerExploitPublicFacingApp:exposure:MediumExposure->LowExposure;ContainerExploitPublicFacingApp:likelihood:Unlikely->VeryUnlikely;ContainerExploitPublicFacingApp:risk_level:Moderate->Minor;ContainerPtraceProcessDiscovery:exposure:MediumExposure->LowExposure;ContainerPtraceProcessDiscovery:likelihood:Unlikely->VeryUnlikely;ContainerPtraceProcessDiscovery:risk_level:Moderate->Minor;assum AUTH_1:Unknown->Satisfied;assum AUTH_2:Unknown->Satisfied;assum AUTH_3:Unknown->Satisfied;assum IMG_2:Unknown->Satisfied;assum IMG_3:Unknown->Satisfied;assum IMG_4:Unknown->Satisfied;assum IMG_5:Unknown->Satisfied;assum IMG_6:Unknown->Satisfied;assum MON_1:Unknown->Satisfied;assum MON_2:Unknown->Satisfied;assum MON_3:Unknown->Satisfied;assum MON_4:Unknown->Satisfied;assum MON_5:Unknown->Satisfied;assum MON_6:Unknown->Satisfied;assum MON_7:Unknown->Satisfied;assum MON_8:Unknown->Satisfied;assum NET_1:Dissatisfied->Satisfied;assum NET_2:Unknown->Satisfied;assum NET_3:Unknown->Satisfied;assum NET_4:Unknown->Satisfied;assum RTS_1:Unknown->Satisfied;assum RTS_2:Unknown->Satisfied;assum RTS_3:Unknown->Satisfied;assum RTS_4:Unknown->Satisfied;assum RTS_5:Unknown->Satisfied;assum RTS_6:Unknown->Satisfied;assum RTS_7:Unknown->Satisfied,1.701,1
D3,Verify governance/process too,assumptions.conf: all 9 families = Satisfied,assumption,harden,Hybrid Cloud Scenario,Production Scenario,True,43,0,4,4,44,4,ContainerPtraceInjection:exploitability:MediumExploitability->LowExploitability;ContainerPtraceInjection:exposure:MediumExposure->LowExposure;ContainerPtraceInjection:likelihood:Possible->VeryUnlikely;ContainerPtraceInjection:risk_level:Significant->Moderate;ContainerDataFromLocalSystem:exploitability:MediumExploitability->LowExploitability;ContainerDataFromLocalSystem:exposure:MediumExposure->LowExposure;ContainerDataFromLocalSystem:likelihood:Possible->VeryUnlikely;ContainerDataFromLocalSystem:risk_level:Moderate->Minor;ContainerExploitPublicFacingApp:exposure:MediumExposure->LowExposure;ContainerExploitPublicFacingApp:likelihood:Unlikely->VeryUnlikely;ContainerExploitPublicFacingApp:risk_level:Moderate->Minor;ContainerPtraceProcessDiscovery:exposure:MediumExposure->LowExposure;ContainerPtraceProcessDiscovery:likelihood:Unlikely->VeryUnlikely;ContainerPtraceProcessDiscovery:risk_level:Moderate->Minor;assum AUTH_1:Unknown->Satisfied;assum AUTH_2:Unknown->Satisfied;assum AUTH_3:Unknown->Satisfied;assum CIC_1:Unknown->Satisfied;assum CIC_2:Unknown->Satisfied;assum CIC_3:Unknown->Satisfied;assum CIC_4:Unknown->Satisfied;assum CIC_5:Unknown->Satisfied;assum CIC_6:Unknown->Satisfied;assum CRM_1:Unknown->Satisfied;assum CRM_2:Unknown->Satisfied;assum CRM_3:Unknown->Satisfied;assum CRM_4:Unknown->Satisfied;assum HIS_1:Unknown->Satisfied;assum HIS_2:Unknown->Satisfied;assum HIS_3:Unknown->Satisfied;assum IMG_2:Unknown->Satisfied;assum IMG_3:Unknown->Satisfied;assum IMG_4:Unknown->Satisfied;assum IMG_5:Unknown->Satisfied;assum IMG_6:Unknown->Satisfied;assum MON_1:Unknown->Satisfied;assum MON_2:Unknown->Satisfied;assum MON_3:Unknown->Satisfied;assum MON_4:Unknown->Satisfied;assum MON_5:Unknown->Satisfied;assum MON_6:Unknown->Satisfied;assum MON_7:Unknown->Satisfied;assum MON_8:Unknown->Satisfied;assum NET_1:Dissatisfied->Satisfied;assum NET_2:Unknown->Satisfied;assum NET_3:Unknown->Satisfied;assum NET_4:Unknown->Satisfied;assum RTS_1:Unknown->Satisfied;assum RTS_2:Unknown->Satisfied;assum RTS_3:Unknown->Satisfied;assum RTS_4:Unknown->Satisfied;assum RTS_5:Unknown->Satisfied;assum RTS_6:Unknown->Satisfied;assum RTS_7:Unknown->Satisfied;assum SCM_1:Unknown->Satisfied;assum SCM_2:Unknown->Satisfied;assum SCM_3:Unknown->Satisfied;assum SCM_4:Unknown->Satisfied,1.647,1
D4,The inverse of D2: the technical control families are verified ABSENT,assumptions.conf: IMG/RTS/NET/AUTH/MON = Dissatisfied,assumption,degrade,Hybrid Cloud Scenario,Rapid Prototype Scenario,True,43,17,4,4,27,4,ContainerPtraceInjection:exploitability:MediumExploitability->HighExploitability;ContainerPtraceInjection:exposure:MediumExposure->HighExposure;ContainerPtraceInjection:likelihood:Possible->VeryLikely;ContainerPtraceInjection:risk_level:Significant->Major;ContainerDataFromLocalSystem:exploitability:MediumExploitability->HighExploitability;ContainerDataFromLocalSystem:exposure:MediumExposure->HighExposure;ContainerDataFromLocalSystem:likelihood:Possible->VeryLikely;ContainerDataFromLocalSystem:risk_level:Moderate->Significant;ContainerExploitPublicFacingApp:exploitability:LowExploitability->HighExploitability;ContainerExploitPublicFacingApp:exposure:MediumExposure->HighExposure;ContainerExploitPublicFacingApp:likelihood:Unlikely->VeryLikely;ContainerExploitPublicFacingApp:risk_level:Moderate->Major;ContainerPtraceProcessDiscovery:exposure:MediumExposure->HighExposure;ContainerPtraceProcessDiscovery:likelihood:Unlikely->Possible;assum AUTH_1:Unknown->Dissatisfied;assum AUTH_2:Unknown->Dissatisfied;assum AUTH_3:Unknown->Dissatisfied;assum IMG_1:Satisfied->Dissatisfied;assum IMG_2:Unknown->Dissatisfied;assum IMG_3:Unknown->Dissatisfied;assum IMG_4:Unknown->Dissatisfied;assum IMG_5:Unknown->Dissatisfied;assum IMG_6:Unknown->Dissatisfied;assum MON_1:Unknown->Dissatisfied;assum MON_2:Unknown->Dissatisfied;assum MON_3:Unknown->Dissatisfied;assum MON_4:Unknown->Dissatisfied;assum MON_5:Unknown->Dissatisfied;assum MON_6:Unknown->Dissatisfied;assum MON_7:Unknown->Dissatisfied;assum MON_8:Unknown->Dissatisfied;assum NET_2:Unknown->Dissatisfied;assum NET_3:Unknown->Dissatisfied;assum NET_4:Unknown->Dissatisfied;assum RTS_1:Unknown->Dissatisfied;assum RTS_2:Unknown->Dissatisfied;assum RTS_3:Unknown->Dissatisfied;assum RTS_4:Unknown->Dissatisfied;assum RTS_5:Unknown->Dissatisfied;assum RTS_6:Unknown->Dissatisfied;assum RTS_7:Unknown->Dissatisfied,1.627,1
D5,Assume-breach: no control family can be relied upon,assumptions.conf: all 9 families = Dissatisfied,assumption,degrade,Hybrid Cloud Scenario,High Risk Scenario,True,43,0,4,4,44,4,ContainerPtraceInjection:exploitability:MediumExploitability->HighExploitability;ContainerPtraceInjection:exposure:MediumExposure->HighExposure;ContainerPtraceInjection:likelihood:Possible->VeryLikely;ContainerPtraceInjection:risk_level:Significant->Major;ContainerDataFromLocalSystem:exploitability:MediumExploitability->HighExploitability;ContainerDataFromLocalSystem:exposure:MediumExposure->HighExposure;ContainerDataFromLocalSystem:likelihood:Possible->VeryLikely;ContainerDataFromLocalSystem:risk_level:Moderate->Significant;ContainerExploitPublicFacingApp:exploitability:LowExploitability->HighExploitability;ContainerExploitPublicFacingApp:exposure:MediumExposure->HighExposure;ContainerExploitPublicFacingApp:likelihood:Unlikely->VeryLikely;ContainerExploitPublicFacingApp:risk_level:Moderate->Major;ContainerPtraceProcessDiscovery:exposure:MediumExposure->HighExposure;ContainerPtraceProcessDiscovery:likelihood:Unlikely->Possible;assum AUTH_1:Unknown->Dissatisfied;assum AUTH_2:Unknown->Dissatisfied;assum AUTH_3:Unknown->Dissatisfied;assum CIC_1:Unknown->Dissatisfied;assum CIC_2:Unknown->Dissatisfied;assum CIC_3:Unknown->Dissatisfied;assum CIC_4:Unknown->Dissatisfied;assum CIC_5:Unknown->Dissatisfied;assum CIC_6:Unknown->Dissatisfied;assum CRM_1:Unknown->Dissatisfied;assum CRM_2:Unknown->Dissatisfied;assum CRM_3:Unknown->Dissatisfied;assum CRM_4:Unknown->Dissatisfied;assum HIS_1:Unknown->Dissatisfied;assum HIS_2:Unknown->Dissatisfied;assum HIS_3:Unknown->Dissatisfied;assum IMG_1:Satisfied->Dissatisfied;assum IMG_2:Unknown->Dissatisfied;assum IMG_3:Unknown->Dissatisfied;assum IMG_4:Unknown->Dissatisfied;assum IMG_5:Unknown->Dissatisfied;assum IMG_6:Unknown->Dissatisfied;assum MON_1:Unknown->Dissatisfied;assum MON_2:Unknown->Dissatisfied;assum MON_3:Unknown->Dissatisfied;assum MON_4:Unknown->Dissatisfied;assum MON_5:Unknown->Dissatisfied;assum MON_6:Unknown->Dissatisfied;assum MON_7:Unknown->Dissatisfied;assum MON_8:Unknown->Dissatisfied;assum NET_2:Unknown->Dissatisfied;assum NET_3:Unknown->Dissatisfied;assum NET_4:Unknown->Dissatisfied;assum RTS_1:Unknown->Dissatisfied;assum RTS_2:Unknown->Dissatisfied;assum RTS_3:Unknown->Dissatisfied;assum RTS_4:Unknown->Dissatisfied;assum RTS_5:Unknown->Dissatisfied;assum RTS_6:Unknown->Dissatisfied;assum RTS_7:Unknown->Dissatisfied;assum SCM_1:Unknown->Dissatisfied;assum SCM_2:Unknown->Dissatisfied;assum SCM_3:Unknown->Dissatisfied;assum SCM_4:Unknown->Dissatisfied,1.836,1
D6,Remove the host volume,docker-compose.yml: remove - /var:/host-var,artefact,harden,Hybrid Cloud Scenario,Hybrid Cloud Scenario,False,43,43,4,3,0,1,,1.638,1
D7,Knowledge-level edit on the baseline (Hybrid Cloud) impact node,risk_export.jsonld copy: HybridCloud HostSystemFilesExposed Moderate->Critical,kb,kb,Hybrid Cloud Scenario,Hybrid Cloud Scenario,False,43,43,4,4,0,2,ContainerDataFromLocalSystem:risk_level:Moderate->Critical;ContainerDataFromLocalSystem:impact:Moderate->Critical,1.809,1
