label,N,distinct_canonical_hashes,hash
B0,20,1,6c7619120537a4ad3e1d4e5d248db5816c71845d15f66de427bf5a0d2deb4ced
D1,5,1,fc468b6dc6aaf974597246726b35cebb5eb73958b6efc08674ea3c63d3fa3ea7
D2,5,1,3f95e2426e862f66ba8764bda0608d272f2fcff1b7dd09271c044e0058cf5076
D3,5,1,d301028002496f8566ceec5bb41b18063ea919b218bb98c561eaf608e4632335
D4,5,1,6fc1ba86267b5a6d4525537685deb51a5538c5be9886b91ff078e2934ff290da
D5,5,1,1e00ed7f4bd1def16894def583b0ab5bfd6f550c8424f55edb97da2429129a23
D6,5,1,cb8cb40b035cc5ef18fca56f7e49eb2eebd8d51885cf33187a3044ea110419ab
D7,5,1,100407aaa86a5c3bdf98b98355882465967eea172d23cca7c3cbcedd9b37adeb
